X.1,School,Type,Applied,Offers,school_clean,URN,LANAME,LA,ESTAB,LAESTAB,SCHNAME,STREET,LOCALITY,ADDRESS3,TOWN,POSTCODE,SCHSTATUS,OPENDATE,CLOSEDATE,MINORGROUP,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,RELCHAR,ADMPOL,OFSTEDRATING,OFSTEDLASTINSP,lat,lng
48,Runshaw College,State,104,19,Runshaw College,130741.0,Lancashire,888.0,8016.0,8888016.0,Runshaw College,Langdale Road,,,Leyland,PR25 3DQ,Open,,,College,Further education,0.0,0.0,1.0,16.0,99.0,Mixed,Does not apply,Not applicable,Outstanding,22-05-2008,53.68086770000001,-2.6898688
49,Dulwich College,Independent ,116,19,Dulwich College,100861.0,Southwark,210.0,6000.0,2106000.0,Dulwich College,Dulwich Common,Dulwich,,London,SE21 7LD,Open,,,Independent school,Other independent school,1.0,1.0,1.0,0.0,19.0,Mixed,None,Not applicable,,,51.438894,-0.08554919999999999
50,Royal Grammar School Guildford,Independent,54,18,Royal Grammar School Guildford,125424.0,Surrey,936.0,6534.0,9366534.0,The Royal Grammar School Guildford,High Street,Guildford,,,GU1 3BB,Open,,,Independent school,Other independent school,1.0,1.0,1.0,3.0,18.0,Boys,Christian,Selective,,,51.2368108,-0.5693414
51,Camden School for Girls,State,56,18,Camden School for Girls,100054.0,Camden,202.0,4611.0,2024611.0,The Camden School for Girls,Sandall Road,,,London,NW5 2DB,Open,,,Maintained school,Voluntary aided school,0.0,1.0,1.0,11.0,18.0,Girls,None,Non-selective,Outstanding,06-12-2007,51.5460921,-0.134616
52,Dame Alice Owen’s School,State,66 ,18,Dame Alice Owens School,136554.0,Hertfordshire,919.0,5407.0,9195407.0,Dame Alice Owen's School,Dugdale Hill Lane,,,Potters Bar,EN6 2DU,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Mixed,None,Non-selective,,,51.6907953,-0.2071661
53,Dr Challoner’s Grammar School,State,71,18,Dr Challoners Grammar School,136419.0,Buckinghamshire,825.0,4504.0,8254504.0,Dr Challoner's Grammar School,Chesham Road,,,Amersham,HP6 5HA,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Boys,None,Selective,Outstanding,06-11-2019,51.6760251,-0.6095188
54,"Exeter College, Hele Road Centre",State,76,18,Exeter College,130645.0,Devon,878.0,8000.0,8788000.0,Exeter College,Hele Road,,,Exeter,EX4 4JS,Open,,,College,Further education,0.0,0.0,1.0,16.0,99.0,Mixed,Does not apply,Not applicable,Outstanding,24-01-2014,50.7283449,-3.5385612
55=,"Haberdashers’ School for Girls, Elstree ",Independent,43 ,17,Haberdashers School for Girls,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6547048,-0.311669
55=,South Hampstead High School,Independent,43,17,South Hampstead High School,100076.0,Camden,202.0,6307.0,2026307.0,South Hampstead High School,3 Maresfield Gardens,London,,,NW3 5SS,Open,,,Independent school,Other independent school,1.0,1.0,1.0,4.0,18.0,Girls,None,Not applicable,,,51.5461891,-0.1769548
57,Kendrick School,State,44,17,Kendrick School,136448.0,Reading,870.0,5413.0,8705413.0,Kendrick School,London Road,,,Reading,RG1 5BN,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Girls,None,Selective,,,51.4515379,-0.9658774
58,Wallington County Grammar School,State,46 ,17,Wallington County Grammar School,136798.0,Sutton,319.0,5407.0,3195407.0,Wallington County Grammar School,Croydon Road,,,Wallington,SM6 7PH,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Boys,None,Selective,Outstanding,18-01-2017,51.3692254,-0.1488237
59,"Alleyn’s School, Dulwich",Independent,60,17,Alleyns School,100864.0,Southwark,210.0,6312.0,2106312.0,Alleyn's School,Townley Road,Dulwich,Greater London,London,SE22 8SU,Open,,,Independent school,Other independent school,1.0,1.0,1.0,4.0,18.0,Mixed,None,Selective,,,51.4548743,-0.0806128
60,The Cherwell School ,State ,62,17,Cherwell School,137970.0,Oxfordshire,931.0,4116.0,9314116.0,The Cherwell School,Marston Ferry Road,,,Oxford,OX2 7EE,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Mixed,Does not apply,Non-selective,,,51.7755308,-1.2592327
61,"Wellington College, Crowthorne ",Independent ,66,17,Wellington College,110125.0,Bracknell Forest,867.0,6001.0,8676001.0,Wellington College,Duke's Ride,Crowthorne,Berkshire,,RG45 7PU,Open,,,Independent school,Other independent school,0.0,1.0,1.0,13.0,18.0,Mixed,Church of England,Selective,,,51.364466,-0.806496
62,Abingdon School,Independent,72,17,Abingdon School,123312.0,Oxfordshire,931.0,6095.0,9316095.0,Abingdon School,Park Road,,,Abingdon,OX14 1DE,Open,,,Independent school,Other independent school,1.0,1.0,1.0,4.0,19.0,Boys,None,Not applicable,,,51.6729938,-1.2883791
63,Mossbourne Community Academy,State,45,16,Mossbourne Community Academy,134693.0,Hackney,204.0,6905.0,2046905.0,Mossbourne Community Academy,100 Downs Park Road,Hackney,,London,E5 8JY,Open,,,Academy,Academy sponsor led,0.0,1.0,1.0,11.0,18.0,Mixed,Does not apply,Non-selective,Outstanding,29-09-2021,51.5515891,-0.0619967
64,Watford Grammar School for Boys,State ,52,16,Watford Grammar School for Boys,136276.0,Hertfordshire,919.0,5401.0,9195401.0,Watford Grammar School for Boys,Rickmansworth Road,,,Watford,WD18 7JF,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Boys,Church of England,Non-selective,Outstanding,14-10-2021,51.6549092,-0.4142095
65,"Royal Grammar School, Buckinghamshire",State,59,16,Royal Grammar School,108549.0,Newcastle upon Tyne,391.0,6037.0,3916037.0,Royal Grammar School,Eskdale Terrace,,,Newcastle-upon-Tyne,NE2 4DX,Open,,,Independent school,Other independent school,1.0,1.0,1.0,7.0,19.0,Mixed,None,Not applicable,,,51.6411427,-0.7385954
65,"Royal Grammar School, Buckinghamshire",State,59,16,Royal Grammar School,136484.0,Buckinghamshire,825.0,5404.0,8255404.0,"The Royal Grammar School, High Wycombe",Amersham Road,,,High Wycombe,HP13 6QT,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Boys,None,Selective,Good,10-10-2019,51.6411427,-0.7385954
66,"Wycombe Abbey School, High Wycombe",Independent,73,16,Wycombe Abbey School,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6260562,-0.750977
67,Haberdashers’ Boys’ School ,Independent,75,16,Haberdashers Boys School,117648.0,Hertfordshire,919.0,6221.0,9196221.0,Haberdashers' Boys' School,Butterfly Lane,Elstree,Hertfordshire,,WD6 3AF,Open,,,Independent school,Other independent school,1.0,1.0,1.0,5.0,18.0,Boys,None,Not applicable,,,51.65905610000001,-0.3157556
68,Hampton School,Independent ,80,16,Hampton School,102946.0,Richmond upon Thames,318.0,6071.0,3186071.0,Hampton School,Hanworth Road,,,Hampton,TW12 3HD,Open,,,Independent school,Other independent school,1.0,1.0,1.0,2.0,19.0,Boys,None,Not applicable,,,51.4283717,-0.3724012
69,Saffron Walden County High School,State,42,15,Saffron Walden County High School,136776.0,Essex,881.0,5408.0,8815408.0,Saffron Walden County High School,Audley End Road,,,Saffron Walden,CB11 4UH,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Mixed,None,Non-selective,Outstanding,17-05-2012,52.0172822,0.2307005
70,"King Edward’s School, Edgbaston",Independent ,59,15,King Edwards School,103584.0,Birmingham,330.0,6076.0,3306076.0,King Edward's School,Edgbaston Park Road,,,Birmingham,B15 2UA,Open,,,Independent school,Other independent school,0.0,1.0,1.0,11.0,18.0,Boys,Christian,Selective,,,52.4497611,-1.9215141
70,"King Edward’s School, Edgbaston",Independent ,59,15,King Edwards School,109374.0,Bath and North East Somerset,800.0,6010.0,8006010.0,"King Edward's School, Bath",North Road,Bath,,,BA2 6HU,Open,,,Independent school,Other independent school,1.0,1.0,1.0,3.0,19.0,Mixed,None,Not applicable,,,52.4497611,-1.9215141
71,"King Edward VI School, Warwickshire",State,59,15,King Edward VI School,116580.0,Southampton,852.0,6006.0,8526006.0,King Edward VI School,Wilton Road,,,Southampton,SO15 5UQ,Open,,,Independent school,Other independent school,1.0,1.0,1.0,10.0,19.0,Mixed,None,Not applicable,,,52.1899394,-1.7073504
71,"King Edward VI School, Warwickshire",State,59,15,King Edward VI School,124408.0,Staffordshire,860.0,4087.0,8604087.0,King Edward VI School,Upper St John Street,,,Lichfield,WS14 9EE,Open,,,Maintained school,Community school,0.0,1.0,1.0,11.0,18.0,Mixed,Does not apply,Non-selective,Good,11-10-2017,52.1899394,-1.7073504
71,"King Edward VI School, Warwickshire",State,59,15,King Edward VI School,137302.0,Warwickshire,937.0,4601.0,9374601.0,King Edward VI School,Chapel Lane,,,Stratford-upon-Avon,CV37 6BE,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Boys,None,Selective,Outstanding,01-12-2021,52.1899394,-1.7073504
72,"The King’s School, Canterbury",Independent,60,15,Kings School,111485.0,Cheshire West and Chester,896.0,6019.0,8966019.0,The King's School,Wrexham Road,,,Chester,CH4 7QL,Open,,,Independent school,Other independent school,1.0,1.0,1.0,4.0,19.0,Mixed,Church of England,Not applicable,,,51.2812499,1.0838595
72,"The King’s School, Canterbury",Independent,60,15,Kings School,113595.0,Plymouth,879.0,6002.0,8796002.0,King's School,Hartley Road,Mannamead,,Plymouth,PL3 5LW,Open,,,Independent school,Other independent school,1.0,0.0,0.0,2.0,11.0,Mixed,Christian,Non-selective,,,51.2812499,1.0838595
72,"The King’s School, Canterbury",Independent,60,15,Kings School,115780.0,Gloucestershire,916.0,6003.0,9166003.0,"The King's School, Gloucester",Pitt Street,,,Gloucester,GL1 2BG,Open,,,Independent school,Other independent school,1.0,1.0,1.0,3.0,18.0,Mixed,Church of England,Not applicable,,,51.2812499,1.0838595
72,"The King’s School, Canterbury",Independent,60,15,Kings School,116468.0,Hampshire,850.0,4310.0,8504310.0,Kings' School,Romsey Road,,,Winchester,SO22 5PN,Open,,,Maintained school,Community school,0.0,1.0,0.0,11.0,16.0,Mixed,Does not apply,Non-selective,Outstanding,22-05-2014,51.2812499,1.0838595
72,"The King’s School, Canterbury",Independent,60,15,Kings School,116595.0,Hampshire,850.0,6050.0,8506050.0,The King's School,Lakesmere House,Allington Lane,Fair Oak,Eastleigh,SO50 7DB,Open,,,Independent school,Other independent school,1.0,1.0,0.0,5.0,16.0,Mixed,Christian,Non-selective,,,51.2812499,1.0838595
72,"The King’s School, Canterbury",Independent,60,15,Kings School,117037.0,Worcestershire,885.0,6027.0,8856027.0,The King's School,5 College Green,Worcester,,,WR1 2LL,Open,,,Independent school,Other independent school,1.0,1.0,1.0,2.0,19.0,Mixed,Church of England,Not applicable,,,51.2812499,1.0838595
72,"The King’s School, Canterbury",Independent,60,15,Kings School,117650.0,Hertfordshire,919.0,6224.0,9196224.0,The King's School,Elmfield,Ambrose Lane,,Harpenden,AL5 4DU,Open,,,Independent school,Other independent school,1.0,1.0,0.0,4.0,16.0,Mixed,Christian,Non-selective,,,51.2812499,1.0838595
72,"The King’s School, Canterbury",Independent,60,15,Kings School,118948.0,Medway,887.0,6000.0,8876000.0,"King's School, Rochester",Satis House,Boley Hill,,Rochester,ME1 1TE,Open,,,Independent school,Other independent school,1.0,1.0,1.0,3.0,18.0,Mixed,Church of England,Non-selective,,,51.2812499,1.0838595
72,"The King’s School, Canterbury",Independent,60,15,Kings School,123315.0,Oxfordshire,931.0,6100.0,9316100.0,The King's School,New Yatt Road,,,Witney,OX29 6TA,Open,,,Independent school,Other independent school,1.0,1.0,0.0,3.0,16.0,Mixed,Christian,Non-selective,,,51.2812499,1.0838595
72,"The King’s School, Canterbury",Independent,60,15,Kings School,132382.0,BFPO Overseas Establishments,702.0,4006.0,7024006.0,Kings School,,,,Gutersloh,,Closed,,19-07-2019,Other,Service children's education,0.0,1.0,1.0,11.0,18.0,Mixed,,Non-selective,,,51.2812499,1.0838595
72,"The King’s School, Canterbury",Independent,60,15,Kings School,136673.0,Devon,878.0,4005.0,8784005.0,The King's School,Cadhay Lane,,,Ottery St Mary,EX11 1RA,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Mixed,Does not apply,Non-selective,Outstanding,28-03-2014,51.2812499,1.0838595
72,"The King’s School, Canterbury",Independent,60,15,Kings School,137166.0,Lincolnshire,925.0,5402.0,9255402.0,"The King's School, Grantham",Brook Street,,,Grantham,NG31 6RP,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Boys,None,Selective,,,51.2812499,1.0838595
72,"The King’s School, Canterbury",Independent,60,15,Kings School,139409.0,Brighton and Hove,846.0,4002.0,8464002.0,King's School,Hangleton Way,,,Hove,BN3 8BN,Open,,,Academy,Free schools,0.0,1.0,1.0,11.0,19.0,Mixed,Christian,Non-selective,Good,23-03-2022,51.2812499,1.0838595
72,"The King’s School, Canterbury",Independent,60,15,Kings School,139500.0,Wakefield,384.0,4020.0,3844020.0,The King's School,Mill Hill Lane,,,Pontefract,WF8 4JF,Open,,,Academy,Academy converter,0.0,1.0,0.0,11.0,16.0,Mixed,Does not apply,Non-selective,Good,21-06-2017,51.2812499,1.0838595
73,City of London School for Girls,Independent,65,15,City of London School for Girls,100001.0,City of London,201.0,6005.0,2016005.0,City of London School for Girls,St Giles' Terrace,Barbican,,London,EC2Y 8BB,Open,,,Independent school,Other independent school,1.0,1.0,1.0,7.0,18.0,Girls,None,Selective,,,51.5191253,-0.0943258
74,Aylesbury Grammar School,State,41,14,Aylesbury Grammar School,136884.0,Buckinghamshire,825.0,4500.0,8254500.0,Aylesbury Grammar School,Walton Road,,,Aylesbury,HP21 7RP,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Boys,None,Selective,,,51.8140588,-0.8013895
75=,"Trinity School, Croydon",Independent,54,14,Trinity School,101842.0,Croydon,306.0,6077.0,3066077.0,Trinity School,Shirley Park,Croydon,,,CR9 7AT,Open,,,Independent school,Other independent school,1.0,1.0,1.0,10.0,18.0,Mixed,None,Not applicable,,,51.3740137,-0.05924039999999999
75=,"Trinity School, Croydon",Independent,54,14,Trinity School,106276.0,Tameside,357.0,6000.0,3576000.0,Trinity School,Birbeck Street,Off High Street,,Stalybridge,SK15 1SH,Open,,,Independent school,Other independent school,1.0,1.0,0.0,3.0,16.0,Mixed,Christian,Non-selective,,,51.3740137,-0.05924039999999999
75=,"Trinity School, Croydon",Independent,54,14,Trinity School,113574.0,Devon,878.0,6010.0,8786010.0,Trinity School,Trinity School,Buckeridge Road,Teignmouth,Devon,TQ14 8LY,Open,,,Independent school,Other independent school,1.0,1.0,1.0,3.0,19.0,Mixed,Roman Catholic/Anglican,Not applicable,,,51.3740137,-0.05924039999999999
75=,"Trinity School, Croydon",Independent,54,14,Trinity School,131102.0,Barking and Dagenham,301.0,7005.0,3017005.0,Trinity School,Heathway,,,Dagenham,RM10 7SJ,Open,,,Special school,Community special school,1.0,1.0,1.0,3.0,19.0,Mixed,Does not apply,Not applicable,Outstanding,05-06-2018,51.3740137,-0.05924039999999999
75=,"Trinity School, Croydon",Independent,54,14,Trinity School,137369.0,Cumbria,909.0,5402.0,9095402.0,Trinity School,Strand Road,,,Carlisle,CA1 1JB,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Mixed,Church of England,Non-selective,Good,13-03-2019,51.3740137,-0.05924039999999999
75=,"Trinity School, Croydon",Independent,54,14,Trinity School,138525.0,West Berkshire,869.0,4055.0,8694055.0,Trinity School,Love Lane,Shaw,,Newbury,RG14 2DU,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Mixed,Does not apply,Non-selective,Good,04-07-2018,51.3740137,-0.05924039999999999
75=,"Trinity School, Croydon",Independent,54,14,Trinity School,139554.0,Kent,886.0,4006.0,8864006.0,Trinity School,Seal Hollow Rd,,,Sevenoaks,TN13 3SL,Open,,,Academy,Free schools,0.0,1.0,1.0,11.0,19.0,Mixed,Christian,Non-selective,Good,02-10-2018,51.3740137,-0.05924039999999999
75=,"Trinity School, Croydon",Independent,54,14,Trinity School,143701.0,Essex,881.0,4021.0,8814021.0,The Trinity School,Brinkley Lane,,,Colchester,CO4 9PU,Open,01-09-2021,,Academy,Free schools,0.0,1.0,0.0,11.0,16.0,Mixed,None,Non-selective,,,51.3740137,-0.05924039999999999
75=,Oundle School,Independent,54,14,Oundle School,122129.0,North Northamptonshire,940.0,6007.0,9406007.0,Oundle School,Great Hall,New Street,Oundle,Peterborough,PE8 4GH,Open,,,Independent school,Other independent school,1.0,1.0,1.0,10.0,19.0,Mixed,None,Selective,,,52.4816633,-0.4684760000000001
77,The Godolphin and Latymer School,Independent,57,14,Godolphin and Latymer School,100369.0,Hammersmith and Fulham,205.0,6291.0,2056291.0,The Godolphin and Latymer School,Iffley Road,Hammersmith,,London,W6 0PG,Open,,,Independent school,Other independent school,0.0,1.0,1.0,11.0,18.0,Girls,None,Not applicable,,,51.4951371,-0.2299227
78,Harrow School,Independent,80,14,Harrow School,102245.0,Harrow,310.0,6000.0,3106000.0,Harrow School,5 High Street,,,Harrow-on-the-Hill,HA1 3HP,Open,,,Independent school,Other independent school,0.0,1.0,1.0,13.0,18.0,Boys,Church of England,Not applicable,,,51.5725237,-0.3334223000000001
79,University College School,Independent,88,14,University College School,100065.0,Camden,202.0,6018.0,2026018.0,University College School,Frognal,Hampstead,,London,NW3 6XH,Open,,,Independent school,Other independent school,1.0,1.0,1.0,4.0,18.0,Mixed,None,Not applicable,,,51.5570609,-0.1792915
80,Aylesbury High School,State,33,13,Aylesbury High School,136846.0,Buckinghamshire,825.0,4058.0,8254058.0,Aylesbury High School,Walton Road,,,Aylesbury,HP21 7SX,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Girls,Does not apply,Selective,Outstanding,22-06-2012,51.8125456,-0.8029826
